prov,city,city_id,year,turnover_commercial,size_commercial,turnover_housing,size_housing,hp_commercial,hp_housing,CPI_ly,cpi2013,hp_housing_deflate,hp_housing_minus,hp_housing_deflate_minus,rhp,rhp_deflate,lhp,lhp_deflate,province1,province2,province3,province4,province5,province6,province7,province8,province9,province10,province11,province12,province13,province14,province15,province16,province17,province18,province19,province20,province21,province22,province23,province24,province25,province26,province27,province28,province29,province30,province31,detail_fact,renewal,detail_plan,renewal_plan,lnrenewal,city_id2,pop_city_hk,pop_city_cz,pop_prov_cz,pop_prov_hk,detail_shiji_prov,棚改量,renewal_prov,detail_plan_prov,renewal_plan_prov,pop_r_hk,pop_r_cz,r_hk_lag,r_cz_lag,instrument1,instrument2,linstru2,capital,lpop_hk,lpop_cz,largecity,nearport,agdp,gdp,gdp_deflate,agdp_deflate,lgdp_deflate,lagdp_deflate,agdp_deflate1,size,price,landp,city_id3,landp_lag,landp_deflate,lnlandp_deflate,lnlandp,interestr,interestr_deflate,pop_city2000,pop_prov2000,pop_r2000,instrument3,renewal_r,lnrenewal_lag,export_us,exchange,export_rmb,export_share,east,renewal_east,instru2_east,lnrenewal_plan,positive,renewal_pos,instru2_pos,d_lhp_deflate,renewal_group,city_obs_count
福建省,三明市,3.0,2014.0,1486982.0,237.53,1117437.0,195.24,6260.186,5723.40196681008,102.0,102.0,5611.178,6060.606,6060.606,-0.05563866,-0.07415558,8.652319,8.632516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,3.0,284.01,251.00015482272798,3806.0,3695.7931,,,9.4,推进以棚户区改造为重点的保障性安居工程建设，全年新开工建设9.4万套、基本建成8万套,9.4,0.07684684,0.065948546,0.07663382,0.06637464,0.7203579,0.6239216,-0.4717306,0,5.649009,5.5254536,0,0.5851153439779161,64590.0,1621.21,1589.4215,63323.53,7.371125,11.056012,6.332353,1521.3704930000004,449786.1808999999,0.2956454,3.0,0.5243354,0.28984842,-1.2383972,-1.2185946,6.33,6.2058825,266.72,3410.0,0.07821701,0.73523986,,,177815.0,6.1424,1092210.9,6737010.5,0.0,,0.0,,0.0,,0.0,,high,5
福建省,三明市,3.0,2015.0,1326178.0,232.4213,1110835.0,198.1115,5705.923,5607.120232798196,101.7,103.734,5405.2866,5723.402,5611.178,-0.020316873,-0.036693115,8.631792,8.595133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,3.0,284.21,252.00064726823385,3839.0,3720.6894,,,,,,0.076386385,0.06564226,0.07684684,0.065948546,,,,0,5.6497135,5.529432,0,0.5851153439779161,67978.0,1713.05,1651.3872,65531.07,7.409371,11.09028,6.5531073,1007.9254210000004,257582.1652,0.25555676,3.0,0.2956454,0.24635777,-1.4009705,-1.3643107,5.31,5.1188617,266.72,3410.0,0.07821701,,,,189548.0,6.2272,1180353.2,6890361.0,0.0,,,,0.0,,,-0.03738308,high,5
福建省,三明市,3.0,2016.0,,225.21,,193.38,,,101.7,105.49747799999999,,5607.12,5405.2866,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,3.0,287.4624,253.998716916231,3874.0,3769.9755,,,,,,0.07625047,0.065564975,0.076386385,0.06564226,,,,0,5.6610923,5.537329,0,0.5851153439779161,73261.0,1860.82,1763.8525,69443.37,7.4752555,11.148267,6.944337,1692.8750320000008,228408.3967,0.13492337,3.0,0.25555676,0.12789251,-2.056565,-2.0030484,4.75,4.502477,266.72,3410.0,0.07821701,,,,200286.0,6.6401,1329919.1,7146952.0,0.0,,,,0.0,,,,high,5
福建省,三明市,3.0,2017.0,,236.0,,190.0,,,101.2,106.763447736,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,3.0,287.19,255.99952061361455,3911.0,3807.5839,,,,,,0.07542578,0.065456286,0.07625047,0.065564975,,,,0,5.660144,5.5451756,0,0.5851153439779161,83440.0,2136.06,2000.741,78154.086,7.601273,11.266438,7.8154087,872.4400299999996,445601.5549,0.5107532,3.0,0.13492337,0.47839707,-0.7373142,-0.67186874,4.75,4.449088,266.72,3410.0,0.07821701,,,,214294.0,6.7547,1447491.6,6776456.0,0.0,,,,0.0,,,,high,5
福建省,三明市,3.0,2018.0,1847300.0,267.22,,,6913.0303,6913.0302734375,101.5,108.36489945204,6379.4,,,,,8.841164,8.760829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,3.0,289.1337,257.50169573113357,3941.0,3861.3,完成棚户区改造4.5万套,,4.5,完成棚户区改造4.3万户,4.3,0.074879885,0.06533918,0.07542578,0.065456286,0.32433087,0.28146204,-1.2677577,0,5.666889,5.5510263,0,0.5851153439779161,91406.0,2353.72,2172.0317,84350.19,7.6834183,11.342732,8.435019,1439.5565300000007,536646.7257999999,0.37278613,3.0,0.5107532,0.34401006,-1.0670844,-0.98675036,4.75,4.383338,266.72,3410.0,0.07821701,0.33633313,,,253886.0,6.6118,1678643.5,7131874.0,0.0,,0.0,,0.0,,0.0,,high,5
海南省,三沙市,4.0,2014.0,,,,,,,102.4,102.4,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,4.0,,,903.48,916.3361,,,,,,,,,,,,,0,,,0,0.914209935277272,,,,,,,,,,,,,,,,6.33,6.1816406,,,,,,,,6.1424,,,1.0,,,,0.0,,,,high,5
海南省,三沙市,4.0,2015.0,,,,,,,101.0,103.42400000000002,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,4.0,,,910.82,907.6669,开工改造棚户区3.58万户,,3.58,今年开工建设城镇保障房3.63万套，其中棚户区改造3.29万户,3.29,,,,,,,,0,,,0,0.914209935277272,,,,,,,,,,,,,,,,5.31,5.134205,,,,,,,,6.2272,,,1.0,,,,0.0,,,,high,5
海南省,三沙市,4.0,2016.0,,,,,,,102.8,106.31987200000002,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,4.0,,,917.0,902.1776,实施各类棚户区改造5.01万户(套),,5.01,改造城市棚户区2.45万户,2.45,,,,,,,,0,,,0,0.914209935277272,,,,,,,,,,,,,,,,4.75,4.4676504,,,,,,,,6.6401,,,1.0,,,,0.0,,,,high,5
海南省,三沙市,4.0,2017.0,,,,,,,102.8,109.29682841600001,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,4.0,,,925.76,910.4127,,,,,,,,,,,,,0,,,0,0.914209935277272,,,,,,,,,,,,,,,,4.75,4.3459635,,,,,,,,6.7547,,,1.0,,,,0.0,,,,high,5
海南省,三沙市,4.0,2018.0,,,,,,,102.5,112.0292491264,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,4.0,,,934.32,925.1,全省棚户区改造开工1.5万套,,1.5,,1.5,,,,,,,,0,,,0,0.914209935277272,,,,,,,,,,,,,,,,4.75,4.239964,,,,,,,,6.6118,,,1.0,,,,0.0,,,,high,5
河南省,三门峡市,5.0,2014.0,507667.0,140.89,391441.0,120.36,3603.2861,3252.2515785975406,101.9,101.9,3191.611,3151.8877,3151.8877,0.031842466,0.012603047,8.087103,8.068281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,5.0,227.79,224.40499999947795,9436.0,11101.6485,,,,,,0.020518575,0.023781793,0.020484883,0.0237599,,,,0,5.4284244,5.4134526,0,0.822076156843724,55259.89617,1240.0597,1216.9379,54229.535,7.104093,10.900981,5.4229536,628.6050240000008,234787.5112,0.37350562,4.0,0.03349686,0.36654133,-1.003644,-0.9848222,6.33,6.2119727,217.07,9488.0,0.022878373,,,,19900.0,6.1424,122233.76,985708.6,0.0,,,,1.0,,,,high,5
河南省,三门峡市,5.0,2015.0,590590.0,158.52,388014.0,119.61,3725.6497,3243.9929771758216,101.3,103.22470000000001,3142.6519,3252.2515,3191.611,-0.002539314,-0.015339973,8.08456,8.052822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,5.0,228.53,224.678049998304,9480.0,11216.9858,,,49.0,以棚户区改造为重点加强保障性安居工程建设，开工49万套、基本建成30万套,49.0,0.020373566,0.023700217,0.020518575,0.023781793,1.0054102,1.1653079,0.15298532,0,5.4316673,5.4146686,0,0.822076156843724,55681.376085,1251.0383,1211.9563,53941.91,7.0999913,10.895663,5.394191,303.541576,129483.13970000001,0.42657465,4.0,0.37350562,0.41324863,-0.88370585,-0.85196793,5.31,5.144118,217.07,9488.0,0.022878373,1.1210402,,,17500.0,6.2272,108976.0,871084.44,0.0,,0.0,,1.0,,0.15298532,-0.015459061,high,5
河南省,三门峡市,5.0,2016.0,720285.0,211.78,597044.0,185.31,3401.1,3221.866062274027,101.9,105.18596930000001,3063.0188,3243.993,3142.6519,-0.006820871,-0.025339445,8.077716,8.027156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,5.0,229.5,225.12804999900624,9532.0,11370.4169,棚户区改造开工36.9万套、基本建成28.8万套,,36.9,棚户区改造开工36万套,36.0,0.020183956,0.023618134,0.020373566,0.023700217,0.7334484,0.8532078,-0.15875211,0,5.435903,5.4166694,0,0.822076156843724,58893.731812,1325.8631,1260.4943,55990.1,7.1392593,10.93293,5.59901,523.750387,132297.2713,0.25259605,4.0,0.42657465,0.24014235,-1.4265234,-1.3759637,4.75,4.5158114,217.07,9488.0,0.022878373,0.82362145,,,26300.0,6.6401,174634.62,1317139.2,0.0,,0.0,,1.0,,-0.15875211,-0.025666237,high,5
河南省,三门峡市,5.0,2017.0,962544.0,261.39,847220.0,242.65,3682.4055,3491.5310117453123,101.4,106.65857287020002,3273.5588,3221.866,3063.0188,0.08369841,0.06873612,8.158095,8.093633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,上村、崖底等旧城区和城中村改造加快实施，22个棚改项目全部开工，是近年来市政基础设施建设力度最大、成效最大的一年,,,,,5.0,230.55,226.23999999863452,9559.13,11376.6062,,,42.0,做好棚户区改造工作，今年新开工42万套、基本建成30万套，货币化安置率达到50%以上,42.0,0.02026527,0.023667425,0.020183956,0.023618134,0.84772617,0.9919616,-0.008070883,0,5.440468,5.4215965,0,0.822076156843724,63977.011139,1447.4159,1357.0554,59983.0,7.2130723,11.001817,5.9983,585.8934579999999,317387.4804,0.5417153,4.0,0.25259605,0.50789666,-0.6774773,-0.61301464,4.75,4.453463,217.07,9488.0,0.022878373,0.96089166,,,33003.0,6.7547,222925.36,1540161.0,0.0,,0.0,,1.0,,-0.008070883,0.06647682,high,5
河南省,三门峡市,5.0,2018.0,1112000.0,266.79,,,4168.0723,4168.072265625,102.3,109.11172004621461,3820.0042,3491.531,3273.5588,0.19376636,0.16692698,8.335209,8.248007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,48个棚改项目全部开工,,,,,5.0,230.8,227.14573848953603,9605.0,10906.0,棚改安置房开工66.33万套、基本建成38.42万套,,66.33,持续推进棚户区改造，力争新开工50万套,50.0,0.021162663,0.023648698,0.02026527,0.023667425,1.0132635,1.1833713,0.1683674,0,5.4415517,5.425592,0,0.822076156843724,67275.09,1528.125,1400.514,61657.07,7.2445946,11.029344,6.165707,1330.114397,287673.29639999993,0.21627711,4.0,0.5417153,0.1982162,-1.6183969,-1.5311948,4.75,4.3533363,217.07,9488.0,0.022878373,1.1439186,,,40231.101969206575,6.6118,266000.0,1740695.2,0.0,,0.0,,1.0,,0.1683674,0.15437412,high,5
上海市,上海市,6.0,2014.0,34995300.0,2084.6637,29234400.0,1780.91,16787.023,16415.428067673267,102.7,102.7,15983.863,7159.901,7159.901,1.2926893,1.232414,9.7059765,9.679335,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,拆除中心城区二级旧里以下房屋63.9万平方米，启动13个城中村地块改造,,,,,6.0,1438.7,2420.4267585498615,2425.68,1438.6944,,,,,,1.0000039,0.9978343,0.9999727,0.9928093,,,,1,7.2714953,7.791699,1,0.0,97370.0,23567.695348,22948.098,94810.125,10.04099,11.459632,9.481012,3847.621352000002,14818853.239500001,3.8514323,5.0,4.4898005,3.7501776,1.3218032,1.348445,6.33,6.1635833,1321.63,1641.0,0.8053809,,,,21027700.0,6.1424,129160540.0,54804064.0,0.0,,,,0.0,,,,high,5
上海市,上海市,6.0,2015.0,50935500.0,2431.0,43199300.0,2009.17,20952.488,21501.067605030934,102.4,105.16480000000001,20445.117,16415.428,15983.863,0.30980855,0.27910987,9.975858,9.925499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,启动17个城市更新试点项目。拆除中心城区二级旧里以下房屋65.9万平方米，过去五年累计拆除320万平方米。新建筹措各类保障性住房和实施旧住房综合改造19.7万套，过去五年累计完成87.8万套,,,,,6.0,1442.97,2420.475000003854,2415.27,1442.9676,,,,,,1.0000017,1.0021551,1.0000039,0.9978343,,,,1,7.274459,7.791719,1,0.0,103795.536,25123.45,23889.6,98697.984,10.081199,11.49982,9.869799,3229.3813310000032,15856052.7938,4.909935,5.0,3.8514323,4.668801,1.5409023,1.5912607,5.31,5.049218,1321.63,1641.0,0.8053809,,,,19696900.0,6.2272,122656536.0,48821532.0,0.0,,,,0.0,,,0.24616432,high,5
上海市,上海市,6.0,2016.0,66958000.0,2706.0,52332900.0,2019.8,24744.271,25909.9415783741,103.2,108.53007360000001,23873.514,21501.068,20445.117,0.20505369,0.16768779,10.162382,10.080524,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,新增供应各类保障性住房5.2万套，改造中心城区二级旧里以下房屋59万平方米，实施旧住房综合改造527万平方米,,,,,6.0,1450.0,2417.4816835675438,2419.7,1448.3127,改造中心城区二级旧里以下房屋59万平方米，实施旧住房综合改造527万平方米,,,,,1.001165,0.9990832,1.0000017,1.0021551,,,,1,7.279319,7.7904816,1,0.0,116562.0,28178.65,25963.91,107400.65,10.164463,11.584321,10.740065,3473.889158999998,15371993.129999999,4.4250097,5.0,4.909935,4.07722,1.4054154,1.4872725,4.75,4.376667,1321.63,1641.0,0.8053809,,,,18346700.0,6.6401,121823920.0,43232704.0,0.0,,,,0.0,,,0.15502548,high,5
上海市,上海市,6.0,2017.0,40266700.0,1691.6,33360900.0,1341.62,23803.914,24866.131989684116,101.7,110.37508485120001,22528.754,25909.941,23873.514,-0.040286057,-0.056328524,10.121262,10.022548,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,6.0,1445.65,2419.0149339652853,2418.33,1455.13,,,,,,0.9934851,1.0002832,1.001165,0.9990832,,,,1,7.2763143,7.7911158,1,0.0,126634.15,30632.99,27753.537,114730.74,10.231118,11.650343,11.473074,2434.642518999999,12294286.6,5.0497293,5.0,4.4250097,4.5750628,1.5206205,1.6193347,4.75,4.3035073,1321.63,1641.0,0.8053809,,,,19368100.0,6.7547,130825704.0,42707456.0,0.0,,,,0.0,,,-0.057976723,high,5
